Date,Time,Wind Generation
27/01/2014,20,1236.3
27/01/2014,21,1170.7
27/01/2014,22,1194.7
27/01/2014,23,1174.2
27/01/2014,24,1223.1
28/01/2014,1,1332.9
28/01/2014,2,1474.7
28/01/2014,3,1559.7
28/01/2014,4,1651.1
28/01/2014,5,1712
28/01/2014,6,1797.7
28/01/2014,7,1852.4
28/01/2014,8,1896.5
28/01/2014,9,1944.2
28/01/2014,10,1976
28/01/2014,11,1989.9
28/01/2014,12,1969.9
28/01/2014,13,1978.8
28/01/2014,14,1961.8
28/01/2014,15,2014.8
28/01/2014,16,2109.2
28/01/2014,17,2298.8
28/01/2014,18,2304.3
28/01/2014,19,2255
28/01/2014,20,2129.6
28/01/2014,21,2011
28/01/2014,22,1951.2
28/01/2014,23,1773.3
28/01/2014,24,1557
29/01/2014,1,1579
29/01/2014,2,1638.7
29/01/2014,3,1721.3
29/01/2014,4,1727.9
29/01/2014,5,1787.5
29/01/2014,6,1828.1
29/01/2014,7,1862.6
29/01/2014,8,1876.5
29/01/2014,9,1942.8
29/01/2014,10,1895.2
29/01/2014,11,1903.9
29/01/2014,12,1959
29/01/2014,13,2044.9
29/01/2014,14,2169.6
29/01/2014,15,2268.3
29/01/2014,16,2225.6
29/01/2014,17,2133.9
29/01/2014,18,2029.7
29/01/2014,19,1980
29/01/2014,20,1877.5
29/01/2014,21,1787.9
29/01/2014,22,1640.6
29/01/2014,23,1450.2
29/01/2014,24,1347.2
30/01/2014,1,1292.8
30/01/2014,2,1219.3
30/01/2014,3,1248.8
30/01/2014,4,1358.7
30/01/2014,5,1414.1
30/01/2014,6,1462.5
30/01/2014,7,1525.4
30/01/2014,8,1516.4
30/01/2014,9,1496.5
30/01/2014,10,1511.7
30/01/2014,11,1625.4
30/01/2014,12,1633.5
30/01/2014,13,1626.1
30/01/2014,14,1544.7
30/01/2014,15,1439.1
30/01/2014,16,1368.9
30/01/2014,17,1258.2
30/01/2014,18,1125.3
30/01/2014,19,1063.8
30/01/2014,20,927.5
30/01/2014,21,835
30/01/2014,22,757.1
30/01/2014,23,704
30/01/2014,24,690.1
31/01/2014,1,704.9
31/01/2014,2,798.4
31/01/2014,3,868.2
31/01/2014,4,939.1
31/01/2014,5,1028.3
31/01/2014,6,1267.4
31/01/2014,7,1539.8
31/01/2014,8,1645.8
31/01/2014,9,1507
31/01/2014,10,1247.9
31/01/2014,11,1085.7
31/01/2014,12,1057.5
31/01/2014,13,893.8
31/01/2014,14,752
31/01/2014,15,731.3
31/01/2014,16,686.5
31/01/2014,17,620.4
31/01/2014,18,503
31/01/2014,19,501.7
31/01/2014,20,580.1
31/01/2014,21,587
31/01/2014,22,579
31/01/2014,23,624.5
31/01/2014,24,677.1
01/02/2014,1,789.8
01/02/2014,2,953.1
01/02/2014,3,1164.2
01/02/2014,4,1321.9
01/02/2014,5,1440.7
01/02/2014,6,1584.8
01/02/2014,7,1738.4
01/02/2014,8,1858.2
01/02/2014,9,1921.6
01/02/2014,10,1973.9
01/02/2014,11,2034.5
01/02/2014,12,2053.4
01/02/2014,13,2047.5
01/02/2014,14,2020.8
01/02/2014,15,1961.1
01/02/2014,16,1980.5
01/02/2014,17,2010.2
01/02/2014,18,1917.5
01/02/2014,19,1816.1
01/02/2014,20,1675
01/02/2014,21,1544.9
01/02/2014,22,1498.5
01/02/2014,23,1462.8
01/02/2014,24,1387
02/02/2014,1,1411.6
02/02/2014,2,1494.2
02/02/2014,3,1543.8
02/02/2014,4,1582.6
02/02/2014,5,1544.3
02/02/2014,6,1481
02/02/2014,7,1507.1
02/02/2014,8,1631
02/02/2014,9,1647.7
02/02/2014,10,1649.7
02/02/2014,11,1683.2
02/02/2014,12,1621.8
02/02/2014,13,1588.9
02/02/2014,14,1523.9
02/02/2014,15,1418.6
02/02/2014,16,1316.8
02/02/2014,17,1256.5
02/02/2014,18,1219.5
02/02/2014,19,1181.1
02/02/2014,20,1103.8
02/02/2014,21,1014.9
02/02/2014,22,958
02/02/2014,23,917
02/02/2014,24,826.2
03/02/2014,1,785.8
03/02/2014,2,712.7
03/02/2014,3,655.6
03/02/2014,4,600.3
03/02/2014,5,512.4
03/02/2014,6,486.7
03/02/2014,7,454.5
03/02/2014,8,387.7
03/02/2014,9,406.6
03/02/2014,10,361.4
03/02/2014,11,251.7
03/02/2014,12,141.3
03/02/2014,13,110.4
03/02/2014,14,127.3
03/02/2014,15,182.7
03/02/2014,16,262.4
03/02/2014,17,407.6
03/02/2014,18,582.7
03/02/2014,19,757.7
03/02/2014,20,953.5
03/02/2014,21,1134.9
03/02/2014,22,1317.3
03/02/2014,23,1302.4
03/02/2014,24,1276.3
04/02/2014,1,1296
04/02/2014,2,1310.2
04/02/2014,3,1355.5
04/02/2014,4,1451.9
04/02/2014,5,1350.3
04/02/2014,6,1183.1
04/02/2014,7,912.3
04/02/2014,8,678.8
04/02/2014,9,590.4
04/02/2014,10,583.1
04/02/2014,11,579.4
04/02/2014,12,541.5
04/02/2014,13,475.1
04/02/2014,14,437.6
04/02/2014,15,397.9
04/02/2014,16,423.7
04/02/2014,17,456.7
04/02/2014,18,502.9
04/02/2014,19,562
04/02/2014,20,535.8
04/02/2014,21,482
04/02/2014,22,418.3
04/02/2014,23,409
04/02/2014,24,372.9
05/02/2014,1,367.6
05/02/2014,2,365.1
05/02/2014,3,360.1
05/02/2014,4,401.2
05/02/2014,5,511.5
05/02/2014,6,606.9
05/02/2014,7,693.1
05/02/2014,8,780.1
05/02/2014,9,841.1
05/02/2014,10,954.6
05/02/2014,11,1052.5
05/02/2014,12,1106.2
05/02/2014,13,1086.6
05/02/2014,14,1141.3
05/02/2014,15,1164
05/02/2014,16,1082.6
05/02/2014,17,1147.5
05/02/2014,18,1252.7
05/02/2014,19,1244.9
05/02/2014,20,1183.4
05/02/2014,21,1087.2
05/02/2014,22,1019.1
05/02/2014,23,971.4
05/02/2014,24,957.8
06/02/2014,1,901.3
06/02/2014,2,964.4
06/02/2014,3,1122.3
06/02/2014,4,1254.5
06/02/2014,5,1379.6
06/02/2014,6,1480.4
06/02/2014,7,1566.5
06/02/2014,8,1629
06/02/2014,9,1662.4
06/02/2014,10,1697.7
06/02/2014,11,1795.4
06/02/2014,12,1906.4
06/02/2014,13,1997.9
06/02/2014,14,2012.2
06/02/2014,15,1920.3
06/02/2014,16,1739.4
06/02/2014,17,1590.9
06/02/2014,18,1466.7
06/02/2014,19,1392.3
06/02/2014,20,1308
06/02/2014,21,1231.1
06/02/2014,22,1165.8
06/02/2014,23,1004.3
06/02/2014,24,951.8
07/02/2014,1,932.7
07/02/2014,2,928.1
07/02/2014,3,1051.2
07/02/2014,4,1345.5
07/02/2014,5,1732.6
07/02/2014,6,1916.4
07/02/2014,7,2068.4
07/02/2014,8,2219.3
07/02/2014,9,2181
07/02/2014,10,2084.5
07/02/2014,11,1965.6
07/02/2014,12,1811.5
07/02/2014,13,1757.3
07/02/2014,14,1770.1
07/02/2014,15,1726.2
07/02/2014,16,1507
07/02/2014,17,1314.3
07/02/2014,18,1518.2
07/02/2014,19,1732.8
07/02/2014,20,2066.9
07/02/2014,21,2370.5
07/02/2014,22,2520
07/02/2014,23,2499
07/02/2014,24,2357.6
08/02/2014,1,2173.3
08/02/2014,2,2042.8
08/02/2014,3,1801.5
08/02/2014,4,1581.1
08/02/2014,5,1474.1
08/02/2014,6,1289.3
08/02/2014,7,1144.6
08/02/2014,8,1220.3
08/02/2014,9,1394.8
08/02/2014,10,1624.9
08/02/2014,11,1825
08/02/2014,12,1965
08/02/2014,13,1968.8
08/02/2014,14,2005.5
08/02/2014,15,2078.6
08/02/2014,16,2113.3
08/02/2014,17,2100.8
08/02/2014,18,2135.2
08/02/2014,19,2194.3
08/02/2014,20,2074
08/02/2014,21,2029.6
08/02/2014,22,1920.7
08/02/2014,23,1735.1
08/02/2014,24,1604.8
09/02/2014,1,1504.9
09/02/2014,2,1511.9
09/02/2014,3,1546.2
09/02/2014,4,1592.1
09/02/2014,5,1608
09/02/2014,6,1619.2
09/02/2014,7,1772.6
09/02/2014,8,1927.1
09/02/2014,9,2116.2
09/02/2014,10,2298.2
09/02/2014,11,2369.5
09/02/2014,12,2467.1
09/02/2014,13,2563.7
09/02/2014,14,2601.2
09/02/2014,15,2591.9
09/02/2014,16,2592.1
09/02/2014,17,2655.7
09/02/2014,18,2810.1
09/02/2014,19,2888.8
09/02/2014,20,2791.8
09/02/2014,21,2724.6
09/02/2014,22,2598.5
09/02/2014,23,2487.4
09/02/2014,24,2345.9
10/02/2014,1,2171.9
10/02/2014,2,1986.1
10/02/2014,3,1829.6
10/02/2014,4,1637.4
10/02/2014,5,1371.4
10/02/2014,6,1217.9
10/02/2014,7,1111.2
10/02/2014,8,1064.3
10/02/2014,9,1018.8
10/02/2014,10,967.9
10/02/2014,11,970.5
10/02/2014,12,1034.3
10/02/2014,13,964.1
10/02/2014,14,871.4
10/02/2014,15,660.1
10/02/2014,16,492.7
10/02/2014,17,380.7
10/02/2014,18,337.8
10/02/2014,19,339.8
10/02/2014,20,363
10/02/2014,21,391
10/02/2014,22,415.2
10/02/2014,23,435.9
10/02/2014,24,418.8
11/02/2014,1,392.1
11/02/2014,2,420.4
11/02/2014,3,381.5
11/02/2014,4,347.5
11/02/2014,5,341.4
11/02/2014,6,359.4
11/02/2014,7,342.6
11/02/2014,8,307.9
11/02/2014,9,273.1
11/02/2014,10,257.6
11/02/2014,11,241.5
11/02/2014,12,219.9
11/02/2014,13,225.6
11/02/2014,14,195.6
11/02/2014,15,188.2
11/02/2014,16,154.2
11/02/2014,17,200.1
11/02/2014,18,275.7
11/02/2014,19,392.4
11/02/2014,20,484.6
11/02/2014,21,686.5
11/02/2014,22,1038.9
11/02/2014,23,1495.1
11/02/2014,24,1500.8
12/02/2014,1,1413.9
12/02/2014,2,1257.3
12/02/2014,3,994.7
12/02/2014,4,890.9
12/02/2014,5,919.9
12/02/2014,6,1000.4
12/02/2014,7,1042.4
12/02/2014,8,1125.4
12/02/2014,9,1025.2
12/02/2014,10,978.9
12/02/2014,11,1099.6
12/02/2014,12,1135.8
12/02/2014,13,1385.1
12/02/2014,14,1463.1
12/02/2014,15,1287.6
12/02/2014,16,1231.5
12/02/2014,17,1065
12/02/2014,18,1092.3
12/02/2014,19,1376
12/02/2014,20,1765
